cell,assigned,dominant,continent,share,land_frac,verdict,breakdown,rows,images
Antarctica_-160_-85_-155_-80,Antarctica,Antarctica,Antarctica,1.0,0.346,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-155_-85_-150_-80,Antarctica,Antarctica,Antarctica,1.0,0.745,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-150_-85_-145_-80,Antarctica,Antarctica,Antarctica,1.0,0.974,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-145_-85_-140_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-140_-85_-135_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-135_-85_-130_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-130_-85_-125_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-125_-85_-120_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-120_-85_-115_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-115_-85_-110_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-110_-85_-105_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-105_-85_-100_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-100_-85_-95_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-95_-85_-90_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-90_-85_-85_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-85_-85_-80_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-80_-85_-75_-80,Antarctica,Antarctica,Antarctica,1.0,0.958,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-75_-85_-70_-80,Antarctica,Antarctica,Antarctica,1.0,0.841,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-70_-85_-65_-80,Antarctica,Antarctica,Antarctica,1.0,0.756,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-65_-85_-60_-80,Antarctica,Antarctica,Antarctica,1.0,0.583,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-60_-85_-55_-80,Antarctica,Antarctica,Antarctica,1.0,0.425,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-55_-85_-50_-80,Antarctica,Antarctica,Antarctica,1.0,0.698,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-50_-85_-45_-80,Antarctica,Antarctica,Antarctica,1.0,0.687,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-45_-85_-40_-80,Antarctica,Antarctica,Antarctica,1.0,0.663,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-40_-85_-35_-80,Antarctica,Antarctica,Antarctica,1.0,0.816,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-35_-85_-30_-80,Antarctica,Antarctica,Antarctica,1.0,0.906,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-30_-85_-25_-80,Antarctica,Antarctica,Antarctica,1.0,0.973,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-25_-85_-20_-80,Antarctica,Antarctica,Antarctica,1.0,0.998,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-20_-85_-15_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-15_-85_-10_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-10_-85_-5_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-5_-85_0_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_0_-85_5_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_5_-85_10_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_10_-85_15_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_15_-85_20_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_20_-85_25_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_25_-85_30_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_30_-85_35_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_35_-85_40_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_40_-85_45_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_45_-85_50_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_50_-85_55_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_55_-85_60_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
